 Full    lambda(A)   nu' nu"  Trans    
    1   5202.966   9   2  Q1f(1.5) 
    2   5202.984   9   2  Q1e(1.5) 
    3   5206.725   9   2  Q2f(1.5) 
    4   5206.824   9   2  Q2e(1.5) 
    5   5224.116   9   2  P1e(2.5) 
    6   5224.158   9   2  P1f(2.5) 
    7   5238.704   9   2  P1e(3.5) 
    8   5238.789   9   2  P1f(3.5) 
    9   5256.012   9   2  P1e(4.5) 
   10   5256.153   9   2  P1f(4.5) 
   11   5256.741   6   0  R2e(1.5) 
   12   5256.753   6   0  R1f(1.5) 
   13   5256.753   6   0  R2f(1.5) 
   14   5256.770   6   0  R1e(1.5) 
   15   5542.228   7   1  R1f(2.5) 
   16   5542.245   7   1  R1e(2.5) 
   17   5544.571   7   1  R1f(1.5) 
   18   5544.587   7   1  R1e(1.5) 
   19   5544.869   7   1  R2e(1.5) 
   20   5544.885   7   1  R2f(1.5) 
   21   5562.933   7   1  Q2f(0.5) 
   22   5563.011   7   1  Q2e(0.5) 
   23   5563.981   7   1  Q1f(1.5) 
   24   5564.006   7   1  Q1e(1.5) 
   25   5569.493   7   1  Q1f(2.5) 
   26   5569.583   7   1  Q1e(2.5) 
   27   5581.190   7   1  P2e(1.5) 
   28   5581.236   7   1  P2f(1.5) 
   29   5589.103   7   1  P1e(2.5) 
   30   5589.152   7   1  P1f(2.5) 
   31   5597.771   7   1  P2e(2.5) 
   32   5597.799   7   1  P2f(2.5) 
   33   5605.094   7   1  P1e(3.5) 
   34   5605.192   7   1  P1f(3.5) 
   35   5617.158   7   1  P2f(3.5) 
   36   5617.163   7   1  P2e(3.5) 
   37   5623.751   7   1  P1e(4.5) 
   38   5623.910   7   1  P1f(4.5) 
   39   5639.268   7   1  P2f(4.5) 
   40   5639.316   7   1  P2e(4.5) 
   41   5865.447   8   2  R1f(2.5) 
   42   5865.461   8   2  R1e(2.5) 
   43   5865.989   8   2  R1f(3.5) 
   44   5865.991   8   2  R1e(3.5) 
   45   5867.234   8   2  R2e(2.5) 
   46   5867.273   8   2  R2f(2.5) 
   47   5867.532   8   2  R1f(1.5) 
   48   5867.548   8   2  R1e(1.5) 
   49   5868.290   8   2  R2e(1.5) 
   50   5868.311   8   2  R2f(1.5) 
   51   5869.467   8   2  R2e(3.5) 
   52   5869.512   8   2  R2f(3.5) 
   53   5872.725   8   2  R2f(0.5) 
   54   5872.729   8   2  R2e(0.5) 
   55   5887.089   8   2  Q2f(0.5) 
   56   5887.169   8   2  Q2e(0.5) 
   57   5888.171   8   2  Q1f(1.5) 
   58   5888.196   8   2  Q1e(1.5) 
   59   5894.422   8   2  Q1f(2.5) 
   60   5894.514   8   2  Q1e(2.5) 
   61   5906.673   8   2  P2e(1.5) 
   62   5906.725   8   2  P2f(1.5) 
   63   5915.275   8   2  P1e(2.5) 
   64   5915.327   8   2  P1f(2.5) 
   65   5924.705   8   2  P2e(2.5) 
   66   5924.741   8   2  P2f(2.5) 
   67   5932.810   8   2  P1e(3.5) 
   68   5932.914   8   2  P1f(3.5) 
   69   5945.930   8   2  P2e(3.5) 
   70   5945.933   8   2  P2f(3.5) 
   71   5953.336   8   2  P1e(4.5) 
   72   5953.505   8   2  P1f(4.5) 
   73   5970.256   8   2  P2f(4.5) 
   74   5970.299   8   2  P2e(4.5) 
   75   5976.953   8   2  P1e(5.5) 
   76   5977.200   8   2  P1f(5.5) 
   77   5997.715   8   2  P2f(5.5) 
   78   5997.814   8   2  P2e(5.5) 
   79   6003.744   8   2  P1e(6.5) 
   80   6004.078   8   2  P1f(6.5) 
   81   6028.353   8   2  P2f(6.5) 
   82   6028.518   8   2  P2e(6.5) 
   83   6033.783   8   2  P1e(7.5) 
   84   6034.214   8   2  P1f(7.5) 
