# wavelength_nm throughput
   400.0 0.000000
   405.0 0.003000
   410.0 0.006000
   415.0 0.078000
   420.0 0.301000
   425.0 0.506000
   430.0 0.612000
   435.0 0.676000
   440.0 0.716000
   445.0 0.753000
   450.0 0.784000
   455.0 0.813000
   460.0 0.839000
   465.0 0.856000
   470.0 0.876000
   475.0 0.896000
   480.0 0.918000
   485.0 0.939000
   490.0 0.953000
   495.0 0.971000
   500.0 0.981000
   505.0 0.990000
   510.0 0.995000
   515.0 1.000000
   520.0 0.997000
   525.0 0.988000
   530.0 0.980000
   535.0 0.960000
   540.0 0.937000
   545.0 0.908000
   550.0 0.874000
   555.0 0.828000
   560.0 0.775000
   565.0 0.719000
   570.0 0.658000
   575.0 0.594000
   580.0 0.524000
   585.0 0.460000
   590.0 0.391000
   595.0 0.329000
   600.0 0.271000
   605.0 0.219000
   610.0 0.173000
   615.0 0.135000
   620.0 0.103000
   625.0 0.077000
   630.0 0.057000
   635.0 0.042000
   640.0 0.031000
   645.0 0.020000
   650.0 0.014000
   655.0 0.012000
   660.0 0.007000
   665.0 0.005000
   670.0 0.000000
