# wavelength_nm throughput
   680.0 0.000000
   685.0 0.001000
   690.0 0.003000
   695.0 0.015000
   700.0 0.087000
   705.0 0.262000
   710.0 0.480000
   715.0 0.633000
   720.0 0.707000
   725.0 0.777000
   730.0 0.851000
   735.0 0.934000
   740.0 0.980000
   745.0 0.993000
   750.0 1.000000
   755.0 0.936000
   760.0 0.709000
   765.0 0.716000
   770.0 0.917000
   775.0 0.959000
   780.0 0.945000
   785.0 0.934000
   790.0 0.927000
   795.0 0.923000
   800.0 0.931000
   805.0 0.929000
   810.0 0.902000
   815.0 0.826000
   820.0 0.784000
   825.0 0.733000
   830.0 0.643000
   835.0 0.565000
   840.0 0.576000
   845.0 0.734000
   850.0 0.554000
   855.0 0.123000
   860.0 0.028000
   865.0 0.009000
   870.0 0.004000
   875.0 0.002000
   880.0 0.000000
