# wavelength_nm throughput
   480.0 0.000000
   485.0 0.002000
   490.0 0.008000
   495.0 0.012000
   500.0 0.021000
   505.0 0.034000
   510.0 0.051000
   515.0 0.070000
   520.0 0.097000
   525.0 0.141000
   530.0 0.218000
   535.0 0.354000
   540.0 0.572000
   545.0 0.772000
   550.0 0.951000
   555.0 0.932000
   560.0 0.953000
   565.0 0.962000
   570.0 0.926000
   575.0 0.943000
   580.0 0.947000
   585.0 0.937000
   590.0 0.946000
   595.0 0.947000
   600.0 0.927000
   605.0 0.919000
   610.0 0.898000
   615.0 0.895000
   620.0 0.926000
   625.0 0.945000
   630.0 0.966000
   635.0 0.974000
   640.0 0.947000
   645.0 0.970000
   650.0 1.000000
   655.0 0.928000
   660.0 0.907000
   665.0 0.986000
   670.0 0.990000
   675.0 0.923000
   680.0 0.858000
   685.0 0.782000
   690.0 0.849000
   695.0 0.631000
   700.0 0.210000
   705.0 0.093000
   710.0 0.071000
   715.0 0.052000
   720.0 0.017000
   725.0 0.006000
   730.0 0.000000
