# wavelength_nm throughput
   810.0 0.000000
   815.0 0.008000
   820.0 0.019000
   825.0 0.046000
   830.0 0.102000
   835.0 0.203000
   840.0 0.347000
   845.0 0.502000
   850.0 0.653000
   855.0 0.782000
   860.0 0.876000
   865.0 0.935000
   870.0 0.979000
   875.0 0.995000
   880.0 1.000000
   885.0 0.982000
   890.0 0.946000
   895.0 0.845000
   900.0 0.773000
   905.0 0.764000
   910.0 0.719000
   915.0 0.699000
   920.0 0.708000
   925.0 0.661000
   930.0 0.493000
   935.0 0.348000
   940.0 0.361000
   945.0 0.350000
   950.0 0.341000
   955.0 0.350000
   960.0 0.368000
   965.0 0.407000
   970.0 0.432000
   975.0 0.424000
   980.0 0.402000
   985.0 0.378000
   990.0 0.355000
   995.0 0.334000
  1000.0 0.312000
  1005.0 0.291000
  1010.0 0.270000
  1015.0 0.250000
  1020.0 0.225000
  1025.0 0.203000
  1030.0 0.181000
  1035.0 0.159000
  1040.0 0.134000
  1045.0 0.112000
  1050.0 0.091000
  1060.0 0.048000
  1070.0 0.000000
