 300 P, 6965.431 , Ar I , N73
 300 P, 7067.218 , Ar I , N73
  60  , 7272.936 , Ar I , N73
 300  , 7383.980 , Ar I , N73
 600 P, 7503.869 , Ar I , N73
 400  , 7514.652 , Ar I , N73
 700 P, 7635.106 , Ar I , N73
 400  , 7723.761 , Ar I , N73
 300  , 7724.207 , Ar I , N73
 600 P, 7948.176 , Ar I , N73
 600 P, 8006.157 , Ar I , N73
 700 P, 8014.786 , Ar I , N73
 600 P, 8103.693 , Ar I , N73
1000 P, 8115.311 , Ar I , N73
 300  , 8264.522 , Ar I , N73
 400  , 8408.210 , Ar I , N73
 600  , 8424.648 , Ar I , N73
 400  , 8521.442 , Ar I , N73
 130  , 8667.944 , Ar I , N73
1000 P, 9122.967 , Ar I , N73
 400  , 9224.499 , Ar I , N73
 700 P, 9657.786 , Ar I , N73
 130  , 9784.503 , Ar I , N73
